# Extracted packages (≤ 50 MB)
# Format: disc/package_name  compressed_size_MB  status

1/elementary-xfce  6.6  extracted
1/emacs  24.3  extracted
1/eslint  1.0  extracted
1/esmtp  .1  extracted
1/espeak  2.4  extracted
1/execnet  .1  extracted
1/expect  .6  extracted
1/extra-cmake-modules  .3  extracted
1/faad2  .7  extracted
1/faba-icon-theme  1.2  extracted
1/fakechroot  .1  extracted
1/faketime  0  extracted
1/fastjar  .6  extracted
1/fcitx5-chinese-addons  .6  extracted
1/fcitx  8.3  extracted
1/feynmf  .2  extracted
1/ffmpeg  9.1  extracted
1/fig2dev  .5  extracted
1/firebird3.0  3.3  extracted
1/flite  19.3  extracted
1/flit  .1  extracted
1/fltk1.3  5.1  extracted
1/fluidsynth  1.6  extracted
1/fnt  0  extracted
1/folder-color-caja  0  extracted
1/folder-color-common  .7  extracted
1/folder-color  0  extracted
1/fontforge  11.3  extracted
1/fontmake  .1  extracted
1/fonts-adf  5.1  extracted
1/fonts-aenigma  11.0  extracted
1/fonts-agave  1.5  extracted
1/fonts-alee  .2  extracted
1/fonts-arabeyes  .6  extracted
1/fonts-atarismall  0  extracted
1/fonts-bpg-georgian  .5  extracted
1/fonts-breip  .4  extracted
1/fonts-cabin  .7  extracted
1/fonts-cantarell  .4  extracted
1/fonts-comfortaa  .1  extracted
1/fonts-crosextra-caladea  .1  extracted
1/fonts-crosextra-carlito  1.1  extracted
1/fonts-dustin  .6  extracted
1/fonts-ebgaramond  28.7  extracted
1/fonts-ecolier-court  0  extracted
1/fonts-ecolier-lignes-court  0  extracted
1/fonts-f500  0  extracted
1/fonts-fanwood  .1  extracted
1/fonts-georgewilliams  2.7  extracted
1/fonts-gfs-artemisia  .2  extracted
1/fonts-gfs-baskerville  0  extracted
1/fonts-gfs-complutum  0  extracted
1/fonts-gfs-didot  .3  extracted
1/fonts-gfs-neohellenic  .2  extracted
1/fonts-gfs-olga  0  extracted
1/fonts-gfs-porson  0  extracted
1/fonts-gfs-solomos  0  extracted
1/fonts-go  .3  extracted
1/fonts-goudybookletter  .1  extracted
1/fonts-humor-sans  0  extracted
1/fonts-inconsolata  .1  extracted
1/fonts-inter  3.1  extracted
1/fonts-isabella  .2  extracted
1/fonts-jsmath  .3  extracted
1/fonts-junicode  2.5  extracted
1/fonts-jura  4.8  extracted
1/fonts-league-spartan  1.0  extracted
1/fonts-lindenhill  .1  extracted
1/fonts-linex  2.4  extracted
1/fonts-linuxlibertine  3.5  extracted
1/fonts-lobstertwo  1.3  extracted
1/fonts-nanum  27.5  extracted
1/fonts-ocr-a  .4  extracted
1/fonts-ocr-b  .1  extracted
1/fonts-oflb-asana-math  .2  extracted
1/fonts-oflb-euterpe  0  extracted
1/fonts-okolaks  .4  extracted
1/fonts-opendyslexic  2.4  extracted
1/fonts-open-sans  .5  extracted
1/fonts-osifont  .4  extracted
1/fonts-quicksand  .1  extracted
1/fonts-radisnoir  0  extracted
1/fonts-roboto  5.7  extracted
1/fonts-roboto-slab  1.5  extracted
1/fonts-sil-andika  3.3  extracted
1/fonts-sil-charis  3.6  extracted
1/fonts-sil-doulos  1.2  extracted
1/fonts-sil-gentium-basic  .3  extracted
1/fonts-sil-gentium  .4  extracted
1/fonts-sil-gentiumplus-compact  1.4  extracted
1/fonts-sil-gentiumplus  7.5  extracted
1/fonts-staypuft  0  extracted
1/fonts-stix  4.3  extracted
1/fonts-tiresias  .6  extracted
1/fonts-tomsontalks  .1  extracted
1/fonts-tuffy  1.5  extracted
1/fonts-ubuntu-title  0  extracted
1/fonts-vlgothic  2.1  extracted
1/fonttools  1.8  extracted
1/fop  9.3  extracted
1/freeglut  .9  extracted
1/freepats  24.6  extracted
1/freetable  0  extracted
1/frei0r  1.1  extracted
1/fuse  1.7  extracted
1/gcc-11-cross-ports  .1  extracted
1/gcc-12-cross-ports  .1  extracted
1/gcc-defaults-ports  0  extracted
1/gcc-mingw-w64  0  extracted
1/gcovr  .6  extracted
1/gdebi  .1  extracted
1/gdl  .5  extracted
1/gem2deb  0  extracted
1/gengetopt  .5  extracted
1/gi-docgen  .9  extracted
1/gimp-data-extras  4.2  extracted
1/gist  0  extracted
1/git-buildpackage  2.9  extracted
1/glade  2.6  extracted
1/glibc-tools  0  extracted
1/glslang  3.2  extracted
1/glyphsinfo  .5  extracted
1/gnome-common  .1  extracted
1/gnome-icon-theme  16.9  extracted
1/gnome-pkg-tools  0  extracted
1/gnome-weather  .9  extracted
1/gnulib  7.3  extracted
1/gnuplot  1.9  extracted
1/gnustep-make  .6  extracted
1/googletest  .8  extracted
1/gperf  1.1  extracted
1/gradle-debian-helper  0  extracted
1/gradle  6.0  extracted
1/gradle-plugin-protobuf  0  extracted
1/gradle-propdeps-plugin  0  extracted
1/graphicsmagick  5.8  extracted
1/graphviz  29.3  extracted
1/greybird-gtk-theme  .6  extracted
1/groovy  2.9  extracted
1/grub2-themes-ubuntustudio  .1  extracted
1/grunt  0  extracted
1/gsfonts  3.2  extracted
1/gsfonts-x11  0  extracted
1/gst-libav1.0  .2  extracted
1/gst-plugins-bad1.0  5.9  extracted
1/gst-plugins-ugly1.0  .5  extracted
1/gtk2-engines  .6  extracted
1/gtk2-engines-oxygen  .1  extracted
1/gtk-doc  .4  extracted
1/gtk-sharp2  2.5  extracted
1/gtkspell3  .2  extracted
1/guile-3.0  3.8  extracted
1/gui-ufw  2.3  extracted
1/gunicorn  .3  extracted
1/gupnp-igd  0  extracted
1/gyp  .4  extracted
1/heimdal  5.7  extracted
1/help2man  .2  extracted
1/highlight.js  .6  extracted
1/hspell  .5  extracted
1/html2text  .1  extracted
1/htmldoc  3.2  extracted
1/libcloudproviders  0  extracted
1/libffado  1.1  extracted
1/libnice  .4  extracted
1/libsoup3  1.4  extracted
1/libxfce4ui  .7  extracted
1/libxfce4util  .4  extracted
1/llvm-defaults  0  extracted
1/lmodern  18.0  extracted
1/lyx  15.5  extracted
1/mallard-ducktype  0  extracted
1/node-chai  .3  extracted
1/node-clean-css  .5  extracted
1/node-gulp  3.0  extracted
1/node-handlebars  .3  extracted
1/prelink  .8  extracted
1/presage  2.5  extracted
1/python-flake8  .1  extracted
1/tex-gyre  22.9  extracted
1/tk-html3  1.1  extracted
1/ttf-ancient-fonts  39.8  extracted
1/twitter-bootstrap3  1.9  extracted
1/uhttpmock  .3  extracted
1/umockdev  .4  extracted
1/unifont  22.5  extracted
1/wine  25.8  extracted
1/xfconf  .6  extracted
1/xsp  .7  extracted
1/xuxen-eu-spell  .8  extracted
2/aalib  .3  extracted
2/abseil  1.7  extracted
2/alsa-lib  1.0  extracted
2/alsa-plugins  .4  extracted
2/apr  1.0  extracted
2/apr-util  .7  extracted
2/argon2  1.4  extracted
2/atkmm1.6  .6  extracted
2/at-spi2-atk  .1  extracted
2/babeltrace  .9  extracted
2/boost-defaults  0  extracted
2/cairo  40.0  extracted
2/cairomm  1.2  extracted
2/c-ares  1.5  extracted
2/cdparanoia  .2  extracted
2/clutter-gtk  .3  extracted
2/cross-toolchain-base  0  extracted
2/dbus-glib  .7  extracted
2/ding-libs  .5  extracted
2/djvulibre  2.8  extracted
2/dlm  .1  extracted
2/dotconf  .3  extracted
2/exempi  3.5  extracted
2/fftw3  3.9  extracted
2/fribidi  1.9  extracted
2/gdbm  1.0  extracted
2/gdk-pixbuf-xlib  0  extracted
2/giflib  .3  extracted
2/glib2.0  4.7  extracted
2/glibmm2.4  7.2  extracted
2/glm  2.8  extracted
2/gmp  1.8  extracted
2/gpgme1.0  1.6  extracted
2/gpm  .8  extracted
2/graphite2  6.3  extracted
2/gtkmm3.0  12.9  extracted
2/hyphen  .6  extracted
2/hyphen-indic  0  extracted
2/hyphen-ru  0  extracted
2/ibus-table-chinese  10.1  extracted
2/ibus-table  1.2  extracted
2/icc-profiles-free  .3  extracted
2/icu  24.3  extracted
2/ieee-data  1.8  extracted
2/ijs  .3  extracted
2/im-config  0  extracted
2/indent  .5  extracted
2/iniparser  0  extracted
2/initramfs-tools  .1  extracted
2/init-system-helpers  0  extracted
2/intel-processor-trace  .3  extracted
2/intltool-debian  0  extracted
2/io-stringy  0  extracted
2/iproute2  .8  extracted
2/iptables  .7  extracted
2/ipxe-qemu-256k-compat  3.0  extracted
2/isl  1.8  extracted
2/iso-codes  3.6  extracted
2/jackd2  1.0  extracted
2/jansson  .5  extracted
2/javascript-common  0  extracted
2/jbig2dec  .1  extracted
2/jbigkit  .4  extracted
2/jeepney  0  extracted
2/jq  .4  extracted
2/json-c  .3  extracted
2/kerberos-configs  0  extracted
2/kernel-wedge  0  extracted
2/keystone  1.6  extracted
2/keyutils  .1  extracted
2/klibc  .4  extracted
2/kmod  .2  extracted
2/krb5  8.4  extracted
2/kronosnet  .4  extracted
2/libaio  0  extracted
2/libalgorithm-diff-perl  0  extracted
2/libalgorithm-merge-perl  0  extracted
2/libaliased-perl  0  extracted
2/libao  .4  extracted
2/libarchive-cpio-perl  0  extracted
2/libarchive  6.1  extracted
2/libarchive-zip-perl  .1  extracted
2/libarray-intspan-perl  0  extracted
2/libassuan  .5  extracted
2/libasyncns  .3  extracted
2/libatasmart  .2  extracted
2/libatomic-ops  .1  extracted
2/libauthen-sasl-perl  0  extracted
2/libavc1394  .3  extracted
2/libb-hooks-endofscope-perl  0  extracted
2/libb-hooks-op-check-perl  0  extracted
2/libbpf  .7  extracted
2/libbsd  .4  extracted
2/libbsd-resource-perl  0  extracted
2/libcap2  .1  extracted
2/libcap-ng  .4  extracted
2/libcapture-tiny-perl  0  extracted
2/libcbor  .2  extracted
2/libcdio  1.4  extracted
2/libcdio-paranoia  2.0  extracted
2/libcdr  .5  extracted
2/libcgi-fast-perl  0  extracted
2/libcgi-pm-perl  .2  extracted
2/libchart-perl  .5  extracted
2/libclass-data-inheritable-perl  0  extracted
2/libclass-method-modifiers-perl  0  extracted
2/libclass-xsaccessor-perl  0  extracted
2/libclone-perl  0  extracted
2/libconfig-auto-perl  0  extracted
2/libconfig-inifiles-perl  0  extracted
2/libconfig-tiny-perl  0  extracted
2/libconst-fast-perl  0  extracted
2/libcontextual-return-perl  0  extracted
2/libconvert-asn1-perl  0  extracted
2/libconvert-binhex-perl  0  extracted
2/libconvert-tnef-perl  0  extracted
2/libcue  0  extracted
2/libdaemon  .3  extracted
2/libdata-dpath-perl  .2  extracted
2/libdata-dump-perl  0  extracted
2/libdata-optlist-perl  0  extracted
2/libdata-validate-domain-perl  0  extracted
2/libdata-validate-ip-perl  0  extracted
2/libdata-validate-uri-perl  0  extracted
2/libdate-manip-perl  1.9  extracted
2/libdatrie  .3  extracted
2/libdbi-perl  .6  extracted
2/libdebian-installer  0  extracted
2/libdecor-0  0  extracted
2/libdeflate  .1  extracted
